StarchType,Amylose,Amylopectin,Glycerol,TensileStrength
Corn,0.173835125, 0.214893617, 0.333333333,0.43       
Corn,0.173835125,0.214893617,0.5,0.39      
Corn,0.173835125,0.214893617,0.666666667,0.15      
Corn,0.285842294,0.34787234,0.333333333,0.75      
Corn,0.285842294,0.34787234,0.5,0.59      
Corn,0.285842294,0.34787234,0.666666667,0.38      
Corn,0.397849462,0.480851064,0.333333333,1.28      
Corn,0.397849462,0.480851064,0.5,0.86      
Corn,0.397849462,0.480851064,0.666666667,0.54      
JackfruitSeed,0,0,0.333333333,3.6222      
JackfruitSeed,0.025089606,0.025531915,0.5,3.1292      
JackfruitSeed,0.050179211,0.05106383,0.666666667,2.6362      
JackfruitSeed,0.075268817,0.076595745,0.833333333,2.1432      
JackfruitSeed,0.100358423,0.10212766,1,1.6502   
Arrowroot, 0.682078853, 0.368368794, 0, 16.48  
Arrowroot, 0.682078853, 0.368368794, 0.25, 9.34  
Arrowroot, 0.682078853, 0.368368794, 0.5, 2.42  
Arrowroot, 0.682078853, 0.368368794, 0.75, 1.95  
CornRice, 1, 0.991489362, 0.5, 6.11   
CornRice, 0.984587814, 0.993617021, 0.5, 7.3   
CornRice, 0.969175627, 0.995744681, 0.5, 10.6  
CornRice, 0.953763441, 0.99787234, 0.5, 11.38   
CornRice, 0.938351254, 1, 0.5, 12.5 
JackfruitSeed, 0.025089606, 0.025531915, 0.083333333, 4.12 
JackfruitSeed, 0.025089606, 0.025531915, 0.166666667, 4.4 
JackfruitSeed, 0.025089606, 0.025531915, 0.25, 1.32 
JackfruitSeed, 0.025089606, 0.025531915, 0.333333333, 0.6 
JackfruitSeed, 0.025089606, 0.025531915, 0.416666667, 0.55 
JackfruitSeed, 0.025089606, 0.025531915, 0.5, 0.5 
SugarPalm, 0.217204301, 0.126808511, 0.25, 9.59 
SugarPalm, 0.217204301, 0.126808511, 0.5, 2.64 
SugarPalm, 0.217204301, 0.126808511, 0.75, 1.67 
